,story_id,temperature,evaluation_index,participant_id,novelty,typicality,cohesion,coherence,creativity,genai_familiarity,genai_comfort
149,Y6zx,0.667,5,61174,4.887,2.024,2.121,3.322,3.0885,4,4
150,T96J,1.0,1,97030,4.276,4.105,4.453,1.429,3.56575,4,3
151,Mdt0,2.0,2,97030,2.378,2.48,3.954,1.0,2.4530000000000003,4,3
152,P0S3,1.667,3,97030,3.552,1.971,4.373,1.214,2.7775000000000003,4,3
153,YoP9,0.334,4,97030,4.512,3.198,4.105,1.107,3.2304999999999997,4,3
154,aPfY,1.334,5,97030,4.099,3.558,4.131,1.021,3.2022500000000003,4,3
155,Erj4,1.334,1,80591,4.088,3.054,4.04,1.0,3.0454999999999997,4,3
156,P0S3,1.667,2,80591,3.054,2.989,4.115,1.0,2.7895,4,3
157,SDh5,1.0,3,80591,4.105,3.032,3.021,1.965,3.0307500000000003,4,3
158,EXZH,0.334,4,80591,1.906,3.027,4.062,1.0,2.4987500000000002,4,3
159,I-uK,0.334,5,80591,1.938,3.016,4.067,1.0,2.50525,4,3
160,GwhZ,0.334,1,25052,3.987,3.37,2.909,4.201,3.6167499999999997,4,3
161,M3G0,1.334,2,25052,4.592,4.512,4.024,4.582,4.4275,4,3
162,0-wO,1.334,3,25052,2.609,3.332,3.3,3.236,3.11925,4,3
163,kZol,1.0,4,25052,3.064,2.855,2.807,3.145,2.96775,4,3
164,Mdt0,2.0,5,25052,3.123,2.571,4.201,2.786,3.17025,4,3
165,xUDC,1.667,1,47564,3.005,4.062,5.0,1.0,3.26675,2,4
166,h2Ze,1.667,2,47564,4.072,4.067,3.005,1.0,3.0359999999999996,2,4
167,KleG,2.0,3,47564,1.595,3.038,5.0,1.0,2.65825,2,4
168,1zjI,0.667,4,47564,1.617,3.011,3.0,1.0,2.157,2,4
169,9ppk,1.0,5,47564,1.155,2.619,3.718,1.0,2.123,2,4
170,1bEb,2.0,1,78228,5.0,1.987,4.051,4.013,3.76275,4,5
171,Xt1F,2.0,2,78228,5.0,4.046,2.962,1.0,3.252,4,5
172,YoP9,0.334,3,78228,4.062,4.067,4.603,1.0,3.4330000000000003,4,5
173,Y6zx,0.667,4,78228,4.099,3.038,4.067,2.013,3.30425,4,5
174,YHrP,0.667,5,78228,4.989,4.051,2.979,1.987,3.5014999999999996,4,5
175,HIX9,0.667,1,57731,2.603,3.67,4.979,1.139,3.0977499999999996,5,4
176,aPfY,1.334,2,57731,1.322,1.718,2.174,3.386,2.1500000000000004,5,4
177,-nc7,1.667,3,57731,2.995,3.944,4.153,4.641,3.9332499999999997,5,4
178,q_bk,2.0,4,57731,2.378,2.523,4.099,4.426,3.3565,5,4
179,Fws7,0.667,5,57731,3.917,4.239,2.539,1.488,3.0457499999999995,5,4
